run_id,seed,roc_auc,pr_auc,recall_retain,recall_churn,precision_retain,f1_retain,pred_retain_rate,youden_threshold,best_params
1,49,0.5365342124495228,0.02644115179830027,0.569811320754717,0.5065875035340685,0.017010251210994705,0.03303434697002844,0.49454038997214483,0.4911701120366952,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
2,56,0.5357592245853804,0.0262397406838155,0.5584905660377358,0.5122985581000848,0.016869941867092213,0.032750608541712765,0.48874651810584957,0.49158922305088265,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
3,63,0.5385677020820331,0.027081630722683936,0.5811320754716981,0.4953350296861747,0.016962220508866616,0.03296232876712329,0.5057938718662953,0.4898121431098622,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
4,70,0.536166776022746,0.027026369466639215,0.5962264150943396,0.4770144189991518,0.016796002976506855,0.032671629445823,0.524066852367688,0.4853099977543034,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
5,77,0.5370714975381546,0.026681843077679762,0.5849056603773585,0.48481764206955047,0.01672782214547809,0.032525443290315814,0.5162116991643454,0.4856802309569976,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
6,84,0.5382984194045695,0.027134558191989518,0.5811320754716981,0.49018942606728866,0.016793893129770993,0.03264440911499735,0.5108635097493036,0.48910842828176054,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
7,91,0.5386925280458336,0.02668434228743371,0.569811320754717,0.5137121854679106,0.017255170837618558,0.03349600709849157,0.4875208913649025,0.49357729220573515,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
8,98,0.5353830396722519,0.026195831568795163,0.6264150943396226,0.442013005371784,0.0165437512457644,0.03223613943101272,0.5589972144846796,0.47446071932989226,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
9,105,0.536806482415009,0.027104405170686595,0.5622641509433962,0.5105456601639807,0.016922203293583193,0.032855567805953695,0.4905292479108635,0.49221173328443435,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
10,112,0.5372780471671441,0.0270898061146235,0.5509433962264151,0.5162001696352841,0.01677775224086417,0.032563845210215235,0.48479108635097495,0.4948156334893716,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
